variable,definition
K10_c,[My spouse/partner has a job] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_d,[Pension with a defined benefit from work] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_e,"[401(k), 403(b), Keogh, or other defined contribution plan from work] Are each of the following sources of funds for you [and your spouse or partner] in retirement? "
K10_f,[IRA or Roth IRA] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_g,[Savings outside a retirement account] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_h,[Income from real estate or the sale of real estate] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_i,[Income from a business or the sale of a business] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
K10_j,"[Relying on children, grandchildren, or other family] Are each of the following sources of funds for you [and your spouse or partner] in retirement? "
K10_k,[Other retirement savings] Are each of the following sources of funds for you [and your spouse or partner] in retirement? 
I0_a,"[Wages or salaries] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_b,"[Self-employment] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_c,"[Freelance work or hobbies (do not include income from GfK)] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_d,"[Interest, dividends, or rental income] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_e,"[Social Security] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_f,"[Supplemental Security (SSI)] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_g,"[Unemployment income] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_h,"[Pension income] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0_i,"[Any other income] In the past 12 months, did you [and/or your spouse / and/or partner] receive any income from the followign sources: "
I0A,Did you [and/or your spouse / and/or your partner] receive any income from any source in the past 12 months? 
I4A,"Which of the following categories best describes the total income that you received from all sources, before taxes and deductions, in the past 12 months? "
I1,"In the past 12 months, would you say that your [and your spouse's/and your partner] total spending was: "
I3_a,"[Spend out of your savings] In the past 12 months, did you [and your spouse/and your partner] do each of the following to cover spending that exceeded your income? "
I3_b,"[Borrow / take-on debt] In the past 12 months, did you [and your spouse/and your partner] do each of the following to cover spending that exceeded your income? "
I3_c,"[Rely on family or friends] In the past 12 months, did you [and your spouse/and your partner] do each of the following to cover spending that exceeded your income? "
I3_d,"[Other (Please describe)] In the past 12 months, did you [and your spouse/and your partner] do each of the following to cover spending that exceeded your income? "
I9,"In the past 12 months, which one of the following best describes how your income changes from month to month, if at all? "
I10_a,[Bonuses] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_b,[Commissions] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_c,[Seasonal employment] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_d,[Irregular work schedule (i.e. your work hours change from week to week)] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_e,[Periods of unemployment] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_f,[Investment Income] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_g,[Other (Please specify)] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I10_Refused,[Refused] Please indicate whether each of the following is a reason that your income changed from month to month in the past year? 
I12,"In the past 12 months, did you [and your spouse/and your partner] have any months where you struggled to pay your bills because your income was lower than normal? "
OL1_a,"[Groceries or personal care items] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_b,"[Clothing] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_c,"[Furniture or household goods] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_d,"[Electronics or appliances] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_e,"[Books, music, or DVDs] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_f,"[Travel-related items (plane tickets, hotel rooms)] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_g,"[Tickets to live events, like sporting events, concerts, or movies] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_h,"[Food delivery or carryout] In the past 12 months, have you purchased each of the following types of goods online: "
OL1_i,"[Other (Please specify)] In the past 12 months, have you purchased each of the following types of goods online: "
OL2_a,"[Groceries or personal care items] For each type of good that you purchased online in the past 12 months, what was the primary reason that you madethese purchases online rather than in a local store? "
OL2_b,"[Clothing] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_c,"[Furniture or household goods] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_d,"[Electronics or appliances] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_e,"[Books, music, or DVDs] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_f,"[Travel-related items (plane tickets, hotel rooms)] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than  in a local store? "
OL2_g,"[Tickets to live events, like sporting events, concerts, or movies] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_h,"[Food delivery or carryout] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL2_i,"[OL1other] For each type of good that you purchased online in the past 12 months, what was the primary reason that you made these purchases online rather than in a local store? "
OL3_a,"[Bought used, second-hand, or handmade goods on websites like Ebay, Craigslist, or Etsy] In the past 12 months have you done each of the following: "
OL3_b,[Used a ride-hailing service like Uber or Lyft?] In the past 12 months have you done each of the following: 
OL3_c,"[Stayed overnight in a private residence that you booked online using a service like  Airbnb, VRBO, or HomeAway] In the past 12 months have you done each of the following: "
OL3_d,[Hired someone online to do a task for you remotely through a service such as Mechanical Turk or Fiverr] In the past 12 months have you done each of the following: 
OL3_e,"[Hired someone online to to do an in-person task such as child-care or housecleanin gthrough a service such as Handy, Care.com, or TaskRabbit] In the past 12 months have you done each of the following: "
OL3_f,"[Ordered delivery of prepared meals through services such as GrubHub, Caviar, Instacart, or UberEats] In the past 12 months have you done each of the following: "
OL3_g,"[Bought streaming online media or entertainment content, through services such as Netflix or Amazon Prime] In the past 12 months have you done each of the following: "
OL4_a,"[Read product reviews or get product information] In the past 12 months, have you used the internet to do each of the following, even if you did not make the purchase online? "
OL4_b,"[Compare prices and the availability of products, either across online sites or listed for sale in brick-and-mortar stores? In the past 12 months, have you used the internet to do each of the following, even if you did not make the purchase online? "
OL4_c,"[Interacted with a customer service representative for a product you purchased] In the past 12 months, have you used the internet to do each of the following, even if you did not make the purchase online? "
OL4_d,"[Taken a class or educational program] In the past 12 months, have you used the internet to do each of the following, even if you did not make the purchase online? "
OL4_e,"[Made reservations online, such as at a restaurant, salon, or doctor?s office] In the past 12 months, have you used the internet to do each of the following, even if you did not make the purchase online? "
EF1,"Have you set aside emergency or rainy day funds that would cover your expenses for 3 months in case of sickness, job loss, economic downtunr, or other emergencies?  "
EF2,"If you were to lose your main source of income (e.g. job, government benefits), could you cover your expense for 3 months by borrowing money, using savings, selling assets, or borrowing from friends and family? "
EF3_a,"[Put it on my credit card and pay it off in full at the next statement] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_b,"[Put it on my credit card and pay it off over time] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_c,"[With the money currently in my checking/savings account or with cash] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_d,"[Using money from a bank loan or line of credit] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_e,"[By borrowing from a friend or family member] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_f,"[Using a payday loan, deposit advance, or overdraft] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_g,"[By selling something] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_h,"[I wouldn?t be able to pay for the expense right now] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF3_i,"[Other (Please specify):] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply  "
EF3_Refused,"[Refused] Suppose that you have any emergency expense that costs $400. Based on your current financial situation, how would pay for this expense? If you would use more than one method to cover this expense, please select all that apply "
EF5A,Do you expect to be able to pay all of your bills in full this month? 
EF5B,How would a $400 emergency expense that you had to pay impact your ability to pay your other bills this month? 
E1_a,"[Prescription medicine (including taking less medication than prescribed)] During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E1_b,"[To see a doctor] During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E1_c,"[Mental health care or counseling] During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E1_d,"[Dental care (including skipping check-ups or routine cleaning)] During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E1_e,"[To see a specialist (such as an OB/GYN, dermatologist, orthopedic surgeon, etc.] During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E1_f,"[Follow-up care (e.g. skipping physical therapy sessions recommended by a doctor) During the past 12 months, was there a time when you needed any of the following, but didn't get it because you couldn't afford it? "
E2,"During the past 12 months, have you had any unexpected major medical expenses that you had to pay out of pocket (that were not completely paid for by insurance? "
E2A,Approximately how much did you pay out of pocket for unexpected major medical expenses in the past 12 months? 
E2B,Do you currently have an unpaid balance or owe any debt related to the unexpected major medical expenses that you had in the past 12 months? 
E4_a,[Insurance through a current or former employer or union (of yourself or a family member)] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E4_b,[Insurance purchased directly from an insurance company (by yourself or a family member)] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E4_c,"[Medicare, for people 65 or older, or people with certain disabilities] Are you currently covered by any of the following types of health insurance or health coverage plans? "
E4_d,"[Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or disability] Are you currently covered by any of the following types of health insurance or health coverage plans? "
E4_e,[TRICARE or other military health care] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E4_f,[VA (including those who have ever used or enrolled for VA health care)] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E4_g,[Indian Health Service] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E4_h,[Insurance purchased through a health insurance exchange] Are you currently covered by any of  the following types of health insurance or health coverage plans? 
E4_i,[Any other type of health insurance or health coverage plan] Are you currently covered by any of the following types of health insurance or health coverage plans? 
E6_a,Do you have serious difficulty hearing or serious difficulty seeing even with glasses (including being blind or deaf) 
E6_b,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions "
E6_c,Do you have serious difficulty walking or climbing stairs? 
E7,Do you currently have a health problem or disability which prevents you from working or which limits the kind or amount of work that you can do? 
X2_a,[I lost a job] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_b,[I had my work hours and/or pay reduced] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_c,[My spouse/partner lost a job] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_d,[My spouse/partner had their work hours and/or pay reduced] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_e,[Told by landlord that I had to move out] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_f,[Received a foreclosure or eviction notice] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_g,[A business I owned had financial difficulty] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_h,[I had a significant health problem] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_i,[A family member had significant health problem] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_j,[Divorce] Have you and your family living with you experienced each of the following events in the past 12 months? 
X2_k,[Death of primary breadwinner] Have you and your family living with you experienced each of the following events in the past 12 months? 
X3_a,[I lost a job] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_b,[I had my work hours and/or pay reduced] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_c,[My spouse/partner lost a job] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_d,[My spouse/partner had their work hours and/or pay reduced] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_e,[Told by landlord that I had to move out] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_f,[Received a foreclosure or eviction notice] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_g,[A business I owned had financial difficulty] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_h,[I had a significant health problem] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_i,[A family member had significant health problem] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_j,[Divorce] How much financial strain did each of the events that you experienced cause for you and your family? 
X3_k,[Death of primary breadwinner] How much financial strain did each of the events that you experienced cause for you and your family? 
CH1_a,"[Your family?s finances] When you were growing up (under age 17), how frequently did you worry about each of the following? "
CH1_b,"[Having enough food to eat] When you were growing up (under age 17), how frequently did you worry about each of the following? "
CH1_c,"[Crime and personal safety] When you were growing up (under age 17), how frequently did you worry about each of the following?  "
CH1_d,"[Having a stable caregiver] When you were growing up (under age 17), how frequently did you worry about each of the following? "
CH2,What is the highest level of education that your mother completed? 
CH3,What is the highest level of education that your father completed? 
IND2,IND2: Industry (detailed) in current or main job 
ppcm0062,"Q18: Altogether, how many jobs do you have? "
ppcm0160,Q26: Occupation (detailed) in current or main job 
ppfs0596,Q22: What is the approximate total amount of your household's savings and investment? 
ppfs0001,"Q1: When it comes to decisions regarding your household's financial activities, who makes them? "
pph10001,"Q1: In general, would you say your physical health is. . .? "
pph1date,Date member completed Health 1 survey 
ppfsdate,Date member completed Financial Services survey 
ppcmdate,Date member completed Core survey 
ppage,Age 
ppagecat,Age - 7 Categories 
ppagect4,Age - 4 Categories 
ppeduc,Education (Highest Degree Received) 
ppeducat,Education (Categorical) 
ppethm,Race / Ethnicity 
ppgender,Gender 
pphhhead,Household Head 
pphhsize,Household Size 
pphouse,Housing Type 
ppincimp,Household Income 
ppmarit,Marital Status 
ppmsacat,MSA Status 
ppreg,Region 4 - Based on State of Residence 
ppreg9,Region 9 - Based on State of Residence 
pprent,Ownership Status of Living Quarters 
ppstaten,State 
PPT01,Presence of Household Members - Children 0-1 
PPT25,Presence of Household Members - Children 2-5 
PPT612,Presence of Household Members - Children 6-12 
PPT1317,Presence of Household Members - Children 13-17 
PPT18OV,Presence of Household Members - Adults 18+ 
ppwork,Current Employment Status 
educ_prev_reported,Education level reported in 2014 and 2015 
